[2023-06-09 12:38:27,668][root][INFO] - Logger initialized
[2023-06-09 12:38:39,659][root][INFO] - Found 972 patients in this dataset
[2023-06-09 12:42:08,581][root][INFO] - Basic Split: 972 samples
[2023-06-09 12:42:08,605][root][INFO] - Train set has 786 samples, val has 88 samples, test has 98 samples
[2023-06-09 12:42:08,621][root][INFO] - 	[786] defaultdict(<class 'int'>, {1: 396, 0: 390})
[2023-06-09 12:42:08,637][root][INFO] - 	[88] defaultdict(<class 'int'>, {0: 44, 1: 44})
[2023-06-09 12:42:08,638][root][INFO] - 	[98] defaultdict(<class 'int'>, {0: 52, 1: 46})
[2023-06-09 12:42:08,795][root][INFO] - Train task initialized
[2023-06-09 12:42:08,796][root][INFO] - Starting training task...
[2023-06-09 12:42:08,796][root][INFO] - Doing a basic split...
[2023-06-09 13:47:06,342][root][INFO] - Epoch [80/200] Train Accuracy: 79.27%, Val Accuracy: 81.82%, Train Loss: 0.4842, Val Loss: 0.4151
[2023-06-09 13:47:55,004][root][INFO] - Epoch [81/200] Train Accuracy: 78.00%, Val Accuracy: 86.36%, Train Loss: 0.4923, Val Loss: 0.3839
[2023-06-09 13:48:43,587][root][INFO] - Epoch [82/200] Train Accuracy: 79.15%, Val Accuracy: 76.14%, Train Loss: 0.4934, Val Loss: 0.5723
[2023-06-09 13:49:32,262][root][INFO] - Epoch [83/200] Train Accuracy: 75.72%, Val Accuracy: 79.55%, Train Loss: 0.4977, Val Loss: 0.4549
[2023-06-09 13:50:20,831][root][INFO] - Epoch [84/200] Train Accuracy: 75.82%, Val Accuracy: 82.95%, Train Loss: 0.5103, Val Loss: 0.4232
[2023-06-09 13:51:09,487][root][INFO] - Epoch [85/200] Train Accuracy: 79.40%, Val Accuracy: 84.09%, Train Loss: 0.4730, Val Loss: 0.3895
[2023-06-09 13:51:58,069][root][INFO] - Epoch [86/200] Train Accuracy: 76.85%, Val Accuracy: 81.82%, Train Loss: 0.5154, Val Loss: 0.4525
[2023-06-09 13:52:46,740][root][INFO] - Epoch [87/200] Train Accuracy: 79.16%, Val Accuracy: 76.14%, Train Loss: 0.4682, Val Loss: 0.5419
[2023-06-09 13:53:35,339][root][INFO] - Epoch [88/200] Train Accuracy: 80.93%, Val Accuracy: 81.82%, Train Loss: 0.4640, Val Loss: 0.4081
[2023-06-09 13:54:24,014][root][INFO] - Epoch [89/200] Train Accuracy: 78.12%, Val Accuracy: 82.95%, Train Loss: 0.4857, Val Loss: 0.4001
[2023-06-09 13:55:12,575][root][INFO] - Epoch [90/200] Train Accuracy: 80.29%, Val Accuracy: 81.82%, Train Loss: 0.4600, Val Loss: 0.4384
[2023-06-09 13:56:01,241][root][INFO] - Epoch [91/200] Train Accuracy: 78.53%, Val Accuracy: 84.09%, Train Loss: 0.4959, Val Loss: 0.3896
[2023-06-09 13:56:49,811][root][INFO] - Epoch [92/200] Train Accuracy: 82.46%, Val Accuracy: 75.00%, Train Loss: 0.4492, Val Loss: 0.5944
[2023-06-09 13:57:38,448][root][INFO] - Epoch [93/200] Train Accuracy: 80.15%, Val Accuracy: 80.68%, Train Loss: 0.4625, Val Loss: 0.4507
